Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
44589,498,5e-06,0.001336,0.00200803
89658,498,5e-06,0.00135,0.00200803
93805,498,5e-06,0.001307,0.00200803
25,498,1.6e-05,0.001122,0.0502008
57,498,7e-06,0.001181,0.00401606
27,498,2.8e-05,0.001177,0.0542169
18,498,2.5e-05,0.001145,0.0361446
7,498,1e-05,0.001212,0.0140562
93050,498,4e-06,0.001198,0.00200803
83806,498,4e-06,0.000951,0.00200803
93847,498,4e-06,0.001069,0.00200803
95047,498,1e-06,0.001138,0.00200803
59801,498,4e-06,0.001048,0.00200803
74860,498,4e-06,0.001132,0.00200803
26,498,2.6e-05,0.001141,0.0522088
39184,498,4e-06,0.001248,0.00200803
28660,498,5e-06,0.001102,0.00200803
67498,498,4e-06,0.000975,0.00200803
50022,498,4e-06,0.001175,0.00200803
52155,498,5e-06,0.000736,0.00200803
85789,498,3e-06,0.000775,0.00200803
47570,498,4e-06,0.001114,0.00200803
73000,498,4e-06,0.001026,0.00200803
47147,498,5e-06,0.001047,0.00200803
18182,498,4e-06,0.000766,0.00200803
-43738,498,3e-06,0.000902,0.00200803
27429,498,4e-06,0.000817,0.00200803
91350,498,3e-06,0.000758,0.00200803
65474,498,2e-06,0.000929,0.00200803
102,498,8.6e-05,0.000737,0.204819
12778,498,4e-06,0.001204,0.00200803
36806,498,5e-06,0.00107,0.00200803
58166,498,5e-06,0.001142,0.00200803
12,498,1.2e-05,0.001217,0.0240964
34598,498,4e-06,0.001201,0.00200803
12,498,1.5e-05,0.000761,0.0240964
30922,498,5e-06,0.000777,0.00200803
27,498,2.6e-05,0.000816,0.0542169
50,498,5e-05,0.000745,0.100402
73898,498,3e-06,0.00112,0.00200803
95067,498,5e-06,0.00118,0.00200803
34,498,3.4e-05,0.001064,0.0682731
61454,498,3e-06,0.001172,0.00200803
75335,498,5e-06,0.001182,0.00200803
87888,498,4e-06,0.001258,0.00200803
33945,498,2e-06,0.001241,0.00200803
13,498,1.7e-05,0.001314,0.0261044
67,498,7.4e-05,0.001301,0.134538
16,498,1.7e-05,0.001238,0.0321285
31,498,3.9e-05,0.001297,0.062249
5,498,1.3e-05,0.001238,0.0100402
47929,498,5e-06,0.001247,0.00200803
26,498,3.2e-05,0.001229,0.0522088
18667,498,4e-06,0.001209,0.00200803
93393,498,5e-06,0.001212,0.00200803
92936,498,4e-06,0.001254,0.00200803
96586,498,6e-06,0.001272,0.00200803
49606,498,4e-06,0.001287,0.00200803
22,498,3.9e-05,0.001273,0.0441767
50079,498,4e-06,0.001274,0.00200803
24,498,2.5e-05,0.00126,0.0481928
43120,498,5e-06,0.001264,0.00200803
35,498,3.6e-05,0.001303,0.0702811
5,498,8e-06,0.001249,0.0060241
64803,498,5e-06,0.001264,0.00200803
93319,498,5e-06,0.001236,0.00200803
17,498,6e-06,0.001225,0.00401606
8486,498,5e-06,0.001267,0.00200803
42,498,4.5e-05,0.001111,0.0843373
93512,498,4e-06,0.001008,0.00200803
91716,498,3e-06,0.001219,0.00200803
71303,498,4e-06,0.001175,0.00200803
94006,498,4e-06,0.001049,0.00200803
90166,498,4e-06,0.001209,0.00200803
11,498,1.4e-05,0.001192,0.0220884
93401,498,4e-06,0.001109,0.00200803
4239,498,4e-06,0.001149,0.00200803
84542,498,4e-06,0.001088,0.00200803
2681,498,7e-06,0.001012,0.00401606
9824,498,5e-06,0.001255,0.00200803
33,498,2.9e-05,0.001252,0.0662651
96274,498,3e-06,0.001259,0.00200803
86145,498,4e-06,0.001078,0.00200803
45339,498,6e-06,0.001236,0.00401606
79745,498,4e-06,0.001222,0.00200803
74534,498,4e-06,0.00121,0.00200803
5830,498,4e-06,0.00116,0.00200803
98913,498,4e-06,0.001226,0.00200803
99995,498,3e-06,0.001267,0.00200803
24536,498,5e-06,0.001239,0.00200803
34716,498,5e-06,0.000944,0.00200803
1,498,6e-06,0.001208,0.00200803
5,498,1e-05,0.001207,0.0100402
9873,498,5e-06,0.00123,0.00200803
35303,498,4e-06,0.001232,0.00200803
93382,498,4e-06,0.001119,0.00200803
26,498,2.6e-05,0.00121,0.0522088
1,498,5e-06,0.001219,0.00200803
67,498,6.3e-05,0.00123,0.134538
7,498,1.3e-05,0.001219,0.0140562
68616,498,4e-06,0.001215,0.00200803
29563,498,4e-06,0.001234,0.00200803
93432,498,4e-06,0.001223,0.00200803
39790,498,4e-06,0.001201,0.00200803
69958,498,4e-06,0.001218,0.00200803
85278,498,3e-06,0.001261,0.00200803
48974,498,3e-06,0.001209,0.00200803
76894,498,3e-06,0.001214,0.00200803
1,498,9e-06,0.001231,0.00803213
93307,498,4e-06,0.001297,0.00200803
87137,498,3e-06,0.001254,0.00200803
47723,498,4e-06,0.001247,0.00200803
-7957,498,4e-06,0.001114,0.00200803
21604,498,3e-06,0.001194,0.00200803
9,498,6e-06,0.001325,0.00401606
30,498,3.1e-05,0.001254,0.060241
97660,498,4e-06,0.001257,0.00200803
81431,498,5e-06,0.001226,0.00200803
39,498,6e-05,0.00084,0.0783133
26,498,2.9e-05,0.000652,0.0522088
30909,498,5e-06,0.000876,0.00200803
15,498,1.8e-05,0.001072,0.0301205
28107,498,3e-06,0.000736,0.00200803
9,498,7e-06,0.000732,0.0060241
82220,498,4e-06,0.001175,0.00200803
87184,498,5e-06,0.001213,0.00200803
88324,498,3e-06,0.001232,0.00200803
14,498,1.7e-05,0.001048,0.0281124
36496,498,5e-06,0.000929,0.00200803
50630,498,5e-06,0.00121,0.00200803
46919,498,3e-06,0.001215,0.00200803
31,498,3.3e-05,0.001151,0.062249
49281,498,4e-06,0.001205,0.00200803
16,498,3e-05,0.001224,0.0321285
49525,498,9e-06,0.001271,0.00200803
71605,498,4e-06,0.001252,0.00200803
39,498,5.4e-05,0.001169,0.0783133
22,498,2.2e-05,0.001301,0.0441767
89854,498,3e-06,0.001293,0.00200803
20,498,2.1e-05,0.001264,0.0401606
29,498,4e-06,0.001254,0.00401606
97858,498,4e-06,0.001276,0.00200803
28,498,2.8e-05,0.001277,0.0562249
50656,498,5e-06,0.001254,0.00200803
90,498,9.2e-05,0.001251,0.180723
30962,498,5e-06,0.001247,0.00200803
94770,498,4e-06,0.001242,0.00200803
32982,498,3e-06,0.001223,0.00200803
47343,498,5e-06,0.001247,0.00200803
52692,498,4e-06,0.001211,0.00200803
35,498,3.6e-05,0.001293,0.0702811
27,498,2.9e-05,0.001218,0.0542169
81183,498,4e-06,0.001236,0.00200803
31,498,2.9e-05,0.001195,0.062249
35,498,3.3e-05,0.001174,0.0702811
92090,498,4e-06,0.001232,0.00200803
5,498,5e-06,0.001222,0.00401606
