Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
246280,2991,3e-06,0.005782,0.000334336
6,2991,1.4e-05,0.00491,0.00200602
684117,2991,3e-06,0.004749,0.000334336
510447,2991,3e-06,0.00592,0.000334336
632656,2991,4e-06,0.00456,0.000334336
124259,2991,5e-06,0.004861,0.000334336
639734,2991,6e-06,0.006125,0.000334336
253269,2991,6e-06,0.005252,0.000334336
14110,2991,5e-06,0.003828,0.000334336
533737,2991,5e-06,0.006384,0.000334336
503344,2991,7e-06,0.004544,0.000334336
347727,2991,5e-06,0.005654,0.000334336
344988,2991,5e-06,0.005272,0.000334336
15,2991,1.7e-05,0.004458,0.00501505
285781,2991,5e-06,0.005655,0.000334336
1,2991,8e-06,0.005605,0.00100301
438593,2991,6e-06,0.006937,0.000334336
548175,2991,1.8e-05,0.006405,0.000334336
556276,2991,6e-06,0.006837,0.000334336
261595,2991,5e-06,0.007153,0.000334336
11,2991,1.5e-05,0.00501,0.0036777
49464,2991,6e-06,0.005356,0.000334336
269970,2991,5e-06,0.006543,0.000334336
432060,2991,1.5e-05,0.0072,0.000334336
543159,2991,6e-06,0.007339,0.000334336
398033,2991,6e-06,0.007362,0.000334336
20680,2991,6e-06,0.006661,0.000334336
151781,2991,6e-06,0.007264,0.000334336
98311,2991,8e-06,0.006883,0.000668673
15,2991,2.6e-05,0.007373,0.00501505
7,2991,1.4e-05,0.006892,0.00234035
79376,2991,5e-06,0.006964,0.000334336
89,2991,7e-06,0.005861,0.000668673
12,2991,1.9e-05,0.007065,0.00401204
-69302,2991,3e-06,0.004827,0.000334336
399,2991,0.000423,0.006571,0.1334
313999,2991,5e-06,0.006948,0.000334336
731185,2991,5e-06,0.005317,0.000334336
97111,2991,5e-06,0.004197,0.000334336
337937,2991,5e-06,0.005283,0.000334336
156570,2991,6e-06,0.004803,0.000334336
585314,2991,5e-06,0.004712,0.000334336
488395,2991,5e-06,0.007465,0.000334336
1,2991,8e-06,0.004997,0.000334336
193,2991,0.000149,0.004584,0.0645269
338235,2991,6e-06,0.006803,0.000334336
6,2991,2e-05,0.006791,0.00200602
42572,2991,5e-06,0.005373,0.000334336
