Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
35854,268,4e-06,0.000632,0.00373134
1,268,5e-06,0.000661,0.00746269
1985,268,4e-06,0.000611,0.00373134
20007,268,5e-06,0.000704,0.00373134
22652,268,4e-06,0.000638,0.00373134
10030,268,4e-06,0.000628,0.00373134
19150,268,4e-06,0.000651,0.00373134
36662,268,4e-06,0.000649,0.00373134
15776,268,4e-06,0.00062,0.00373134
1750,268,4e-06,0.000596,0.00373134
29014,268,4e-06,0.000626,0.00373134
15707,268,3e-06,0.000617,0.00373134
31392,268,3e-06,0.000625,0.00373134
4065,268,4e-06,0.000621,0.00373134
27435,268,4e-06,0.000661,0.00373134
24709,268,3e-06,0.000655,0.00373134
30192,268,4e-06,0.000661,0.00373134
36598,268,4e-06,0.000662,0.00373134
35332,268,4e-06,0.000653,0.00373134
17759,268,4e-06,0.000626,0.00373134
29791,268,4e-06,0.000632,0.00373134
24690,268,5e-06,0.00067,0.00373134
19728,268,3e-06,0.000609,0.00373134
37001,268,4e-06,0.00061,0.00373134
-62718,268,4e-06,0.00063,0.00373134
27932,268,4e-06,0.000651,0.00373134
-88074,268,3e-06,0.000641,0.00373134
16444,268,5e-06,0.000652,0.00373134
4,268,5e-06,0.000666,0.00746269
10301,268,5e-06,0.000669,0.00373134
-87294,268,4e-06,0.000618,0.00373134
36898,268,4e-06,0.000627,0.00373134
26426,268,5e-06,0.00065,0.00373134
24436,268,4e-06,0.000643,0.00373134
28437,268,4e-06,0.000658,0.00373134
25848,268,3e-06,0.000631,0.00373134
14477,268,7e-06,0.000614,0.00373134
27269,268,6e-06,0.000645,0.00373134
35990,268,5e-06,0.000657,0.00373134
5261,268,4e-06,0.000642,0.00373134
8599,268,4e-06,0.000636,0.00373134
8607,268,3e-06,0.000605,0.00373134
22702,268,3e-06,0.000624,0.00373134
4686,268,4e-06,0.000644,0.00373134
-79750,268,4e-06,0.000614,0.00373134
35058,268,5e-06,0.000641,0.00373134
29910,268,3e-06,0.000633,0.00373134
34472,268,4e-06,0.000615,0.00373134
35892,268,5e-06,0.000613,0.00373134
16665,268,1e-05,0.000638,0.00373134
28963,268,4e-06,0.000637,0.00373134
11982,268,5e-06,0.000632,0.00373134
12180,268,3e-06,0.000623,0.00373134
9759,268,5e-06,0.000609,0.00373134
25158,268,5e-06,0.000575,0.00373134
35107,268,4e-06,0.000534,0.00373134
29813,268,4e-06,0.000555,0.00373134
29841,268,3e-06,0.000623,0.00373134
13203,268,5e-06,0.000545,0.00373134
36899,268,4e-06,0.00062,0.00373134
1130,268,4e-06,0.000569,0.00373134
13638,268,3e-06,0.000646,0.00373134
8130,268,3e-06,0.000604,0.00373134
27929,268,5e-06,0.000589,0.00373134
8247,268,3e-06,0.000574,0.00373134
17270,268,3e-06,0.000642,0.00373134
29573,268,4e-06,0.000631,0.00373134
28193,268,5e-06,0.00064,0.00373134
9404,268,5e-06,0.000632,0.00373134
12432,268,4e-06,0.000643,0.00373134
10824,268,5e-06,0.000611,0.00373134
31171,268,3e-06,0.000626,0.00373134
19174,268,4e-06,0.000643,0.00373134
18766,268,4e-06,0.000634,0.00373134
8965,268,4e-06,0.000632,0.00373134
21359,268,4e-06,0.000626,0.00373134
11,268,3e-06,0.000507,0.00373134
22418,268,4e-06,0.000638,0.00373134
13675,268,4e-06,0.000635,0.00373134
13475,268,2e-06,0.000624,0.00373134
36785,268,4e-06,0.000621,0.00373134
2395,268,4e-06,0.000587,0.00373134
713,268,4e-06,0.000568,0.00373134
17788,268,5e-06,0.00049,0.00373134
28203,268,4e-06,0.000454,0.00373134
18848,268,4e-06,0.000614,0.00373134
3201,268,7e-06,0.000641,0.00373134
18733,268,5e-06,0.000635,0.00373134
14990,268,5e-06,0.00063,0.00373134
30659,268,4e-06,0.000631,0.00373134
36057,268,3e-06,0.00065,0.00373134
6582,268,4e-06,0.000609,0.00373134
23093,268,4e-06,0.000617,0.00373134
11734,268,4e-06,0.000603,0.00373134
28650,268,3e-06,0.000617,0.00373134
32658,268,4e-06,0.000626,0.00373134
28585,268,4e-06,0.000522,0.00373134
32507,268,3e-06,0.000602,0.00373134
6245,268,4e-06,0.00059,0.00373134
36547,268,5e-06,0.00063,0.00373134
23035,268,4e-06,0.000641,0.00373134
10285,268,4e-06,0.000518,0.00373134
35024,268,4e-06,0.000626,0.00373134
28300,268,3e-06,0.000603,0.00373134
2008,268,4e-06,0.000672,0.00373134
29370,268,4e-06,0.000588,0.00373134
32522,268,5e-06,0.000627,0.00373134
36555,268,4e-06,0.000645,0.00373134
6818,268,4e-06,0.000615,0.00373134
26971,268,4e-06,0.000621,0.00373134
17682,268,4e-06,0.000472,0.00373134
28404,268,3e-06,0.000566,0.00373134
30704,268,3e-06,0.000625,0.00373134
36434,268,3e-06,0.000628,0.00373134
37490,268,4e-06,0.000632,0.00373134
13773,268,4e-06,0.000595,0.00373134
5152,268,4e-06,0.00051,0.00373134
4914,268,2e-06,0.000507,0.00373134
14825,268,3e-06,0.000394,0.00373134
11549,268,2e-06,0.000386,0.00373134
7400,268,4e-06,0.000433,0.00373134
9359,268,4e-06,0.000625,0.00373134
3601,268,4e-06,0.000622,0.00373134
31418,268,4e-06,0.000645,0.00373134
11150,268,4e-06,0.000541,0.00373134
11299,268,4e-06,0.000539,0.00373134
6239,268,3e-06,0.00057,0.00373134
10481,268,4e-06,0.000518,0.00373134
7364,268,4e-06,0.000609,0.00373134
19811,268,4e-06,0.000554,0.00373134
29091,268,3e-06,0.00063,0.00373134
-62761,268,2e-06,0.00047,0.00373134
29049,268,3e-06,0.000392,0.00373134
31107,268,3e-06,0.000402,0.00373134
5,268,6e-06,0.000539,0.0186567
4199,268,4e-06,0.000476,0.00373134
15049,268,4e-06,0.000403,0.00373134
9014,268,1.1e-05,0.000387,0.00373134
36065,268,3e-06,0.000402,0.00373134
25343,268,3e-06,0.0004,0.00373134
27593,268,5e-06,0.000389,0.00373134
20895,268,4e-06,0.000507,0.00373134
15551,268,3e-06,0.000391,0.00373134
29177,268,3e-06,0.000518,0.00373134
4634,268,4e-06,0.000608,0.00373134
11649,268,3e-06,0.000531,0.00373134
37259,268,3e-06,0.000624,0.00373134
31688,268,4e-06,0.000615,0.00373134
20069,268,4e-06,0.000622,0.00373134
