Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
545372,21145,6e-06,0.042559,4.72925e-05
164697,21145,4e-06,0.050922,4.72925e-05
164236,21145,5e-06,0.044605,4.72925e-05
344472,21145,6e-06,0.039057,4.72925e-05
190553,21145,4e-06,0.035793,4.72925e-05
240016,21145,5e-06,0.033731,4.72925e-05
1,21145,5e-06,0.034392,9.4585e-05
270216,21145,3e-06,0.031184,4.72925e-05
18,21145,1.8e-05,0.032854,0.000851265
11,21145,9e-06,0.036384,0.000520218
520345,21145,6e-06,0.033372,4.72925e-05
458518,21145,4e-06,0.030556,4.72925e-05
443388,21145,6e-06,0.036883,4.72925e-05
303596,21145,5e-06,0.045208,4.72925e-05
407600,21145,3e-06,0.044456,4.72925e-05
3283,21145,2e-05,0.042483,0.000141878
201935,21145,6e-06,0.049896,4.72925e-05
149848,21145,5e-06,0.042351,4.72925e-05
5,21145,7e-06,0.043326,0.000236463
202796,21145,6e-06,0.045514,4.72925e-05
367351,21145,6e-06,0.04737,4.72925e-05
432731,21145,5e-06,0.035586,4.72925e-05
402124,21145,4e-06,0.033859,4.72925e-05
318892,21145,5e-06,0.033685,4.72925e-05
95471,21145,3e-06,0.03051,4.72925e-05
35101,21145,4e-06,0.031464,4.72925e-05
175650,21145,3e-06,0.034721,4.72925e-05
262314,21145,4e-06,0.035323,4.72925e-05
414030,21145,1.3e-05,0.033593,4.72925e-05
403556,21145,3e-06,0.034283,4.72925e-05
287774,21145,4e-06,0.035299,4.72925e-05
48,21145,7.1e-05,0.044757,0.00227004
205688,21145,6e-06,0.043055,4.72925e-05
396535,21145,5e-06,0.040624,4.72925e-05
457794,21145,5e-06,0.04941,4.72925e-05
145297,21145,7e-06,0.041967,4.72925e-05
522383,21145,5e-06,0.036576,4.72925e-05
468788,21145,4e-06,0.043564,4.72925e-05
456130,21145,4e-06,0.03784,4.72925e-05
460037,21145,5e-06,0.034213,4.72925e-05
413331,21145,3e-06,0.031626,4.72925e-05
18659,21145,3e-06,0.02911,4.72925e-05
521498,21145,4e-06,0.035008,4.72925e-05
443171,21145,4e-06,0.035824,4.72925e-05
388337,21145,6e-06,0.032182,4.72925e-05
210426,21145,4e-06,0.033227,4.72925e-05
7,21145,8e-06,0.033937,0.000331048
527542,21145,6e-06,0.032517,4.72925e-05
327196,21145,5e-06,0.038885,4.72925e-05
173495,21145,4e-06,0.038062,4.72925e-05
84172,21145,5e-06,0.038919,4.72925e-05
28188,21145,4e-06,0.044882,4.72925e-05
4514,21145,9e-06,0.037996,9.4585e-05
632,21145,0.000536,0.038,0.0298889
144959,21145,6e-06,0.037941,4.72925e-05
20,21145,3.1e-05,0.042822,0.00094585
523280,21145,5e-06,0.033286,4.72925e-05
524075,21145,7e-06,0.032462,4.72925e-05
314412,21145,6e-06,0.031452,4.72925e-05
