Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
16,18,1.9e-05,3e-05,0.888889
757,18,0.000393,2.6e-05,42.0556
139,18,8.6e-05,2.6e-05,7.72222
8,18,1e-05,3.3e-05,0.444444
6,18,8e-06,3.8e-05,0.333333
164478,18,4e-06,3.8e-05,0.0555556
290,18,0.000166,2.6e-05,16.1111
1,18,6e-06,3.7e-05,0.111111
756,18,0.000414,2.6e-05,42
884,18,0.00047,2.6e-05,49.1111
5,18,5e-06,4.1e-05,0.111111
32090,18,3e-06,3.7e-05,0.0555556
1,18,6e-06,3.9e-05,0.222222
322,18,0.00026,4.6e-05,17.8889
395427,18,4e-06,3.4e-05,0.0555556
158,18,0.000186,4.6e-05,8.77778
102,18,0.000102,4.8e-05,5.66667
8,18,1.1e-05,4.3e-05,0.444444
3376,18,0.002022,2.6e-05,187.556
2,18,6e-06,4e-05,0.222222
3,18,3e-06,3.8e-05,0.111111
2431,18,0.001694,4.4e-05,135.056
8,18,7e-06,4.7e-05,0.166667
1,18,5e-06,4.5e-05,0.111111
6,18,1e-05,4.5e-05,0.333333
188,18,0.000173,4.8e-05,10.4444
44,18,4.7e-05,4.6e-05,2.44444
61,18,6.5e-05,4.6e-05,3.38889
940,18,0.000871,2.9e-05,52.2222
7,18,7e-06,3.5e-05,0.388889
220322,18,3e-06,3.7e-05,0.0555556
141495,18,3e-06,3.7e-05,0.0555556
99994,18,6e-06,3.2e-05,0.166667
782,18,0.000427,2.8e-05,43.4444
1,18,4e-06,3.5e-05,0.111111
42,18,4e-05,2.9e-05,2.33333
37,18,3.7e-05,3.5e-05,2.05556
47,18,4e-05,2.8e-05,2.61111
164,18,0.000104,2.7e-05,9.11111
331,18,0.000271,4.1e-05,18.3889
1,18,7e-06,5e-05,0.222222
1,18,8e-06,4.7e-05,0.222222
9,18,1.2e-05,5.2e-05,0.5
26,18,3.4e-05,4.9e-05,1.44444
129,18,0.000132,4.8e-05,7.16667
358716,18,4e-06,5e-05,0.0555556
2551,18,0.001822,2.9e-05,141.722
5,18,6e-06,3.1e-05,0.166667
37,18,3.2e-05,2.7e-05,2.05556
290,18,0.000169,2.8e-05,16.1111
158282,18,4e-06,3.4e-05,0.0555556
2,18,7e-06,3.7e-05,0.222222
1,18,8e-06,3.5e-05,0.222222
339622,18,3e-06,3.3e-05,0.0555556
307869,18,5e-06,3.4e-05,0.0555556
75,18,5.2e-05,2.8e-05,4.16667
1,18,5e-06,3.5e-05,0.166667
9,18,3e-06,3.5e-05,0.166667
4,18,7e-06,3.7e-05,0.166667
1,18,3e-06,2.9e-05,0.111111
145,18,8.4e-05,2.9e-05,8.05556
1,18,4e-06,2.9e-05,0.166667
27,18,2e-05,2.8e-05,1.5
5734,18,0.003373,2e-05,318.556
8909,18,0.005236,2.8e-05,494.944
190,18,0.000117,3.5e-05,10.5556
1,18,5e-06,4e-05,0.111111
99998,18,6e-06,3.9e-05,0.111111
9,18,1.1e-05,2.8e-05,0.5
4,18,7e-06,2.9e-05,0.222222
134186,18,3e-06,2.9e-05,0.0555556
79,18,4.6e-05,2.7e-05,4.38889
140,18,9e-05,2.9e-05,7.77778
374555,18,3e-06,3.1e-05,0.0555556
160,18,0.000101,2.8e-05,8.88889
634,18,0.000337,2.7e-05,35.2222
37,18,2.3e-05,2.7e-05,2.05556
7,18,7e-06,2.8e-05,0.388889
178,18,9.6e-05,2.8e-05,9.88889
7,18,7e-06,2.9e-05,0.388889
357,18,0.000198,2.8e-05,19.8333
2,18,2e-06,2.7e-05,0.166667
186,18,0.000107,2.9e-05,10.3333
8,18,8e-06,2.7e-05,0.444444
80486,18,4e-06,2.9e-05,0.0555556
6,18,5e-06,2.8e-05,0.333333
368205,18,3e-06,2.9e-05,0.0555556
7,18,7e-06,2.7e-05,0.388889
67,18,4.2e-05,2.8e-05,3.72222
272421,18,3e-06,2.9e-05,0.0555556
40,18,2.5e-05,2.8e-05,2.22222
1858,18,0.000977,2.7e-05,103.222
209488,18,3e-06,4.7e-05,0.0555556
1,18,7e-06,3.9e-05,0.222222
1,18,5e-06,3.6e-05,0.111111
