2.50765
2.5521
2.4248
2.70791
2.56863
2.57368
2.50303
2.46379
2.64121
2.54991
2.49465
2.50034
2.51958
2.64565


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)


=AVERAGE(A1:A14)
