#ranks, #L[], #sdsl::wt::interval_scans
69877,72686,1372
63804,92130,946
60743,68720,1079
51324,77034,679
61095,72606,1010
66658,78498,1059
60554,85506,914
63107,79968,1087
55437,67988,831
52896,76488,740
61040,65100,1093
63787,87532,943
64821,75174,1167
57575,90960,742


=AVERAGE(A2:A15),=AVERAGE(B2:B15),=AVERAGE(C2:C15)
