#ranks, #L[], #sdsl::wt::interval_scans
625745,12964,22376
618512,30838,21496
628148,13102,22680
599272,13876,21292
600821,13170,21249
584849,17722,20587
537215,12776,19109
559116,12232,19651
648608,14438,22394
539863,11830,19311
669027,14198,24425
630297,12034,21192
609124,14252,21979
518531,15126,18628


=AVERAGE(A2:A15),=AVERAGE(B2:B15),=AVERAGE(C2:C15)
