#ranks, #L[], #sdsl::wt::interval_scans
353436,13952,15308
348056,12474,14887
406035,12332,17433
362968,14024,15646
347881,12742,15165
407099,13616,17572
370137,17672,15988
356154,15764,15467
386331,16618,16821
371716,16602,16127
366195,13038,15756
370320,15548,16172
366274,16106,15955
351687,15398,15352


=AVERAGE(A2:A15),=AVERAGE(B2:B15),=AVERAGE(C2:C15)
