#ranks, #L[], #sdsl::wt::interval_scans
55119251,720278,1635941
51048018,600602,1499317
50735932,582008,1496481
50585979,519624,1499609
52771436,535402,1560215
51364937,561628,1512459
51248504,586432,1504137
50374855,503996,1496427
50974727,700072,1512797
50428203,555484,1474925
55984993,620740,1644487
49826268,581062,1473528
52350955,729674,1549510
51488163,486694,1508756


=AVERAGE(A2:A15),=AVERAGE(B2:B15),=AVERAGE(C2:C15)
