#ranks, #L[], #sdsl::wt::interval_scans
48511,38302,1168
53632,40746,1299
50515,33532,1161
40912,36732,897
52314,35730,1286
46710,33712,1096
47114,39680,1111
41074,40490,820
44339,37152,1005
55486,41440,1384
56629,33780,1513
53459,38924,1305
47374,39970,1020
47217,42178,986


=AVERAGE(A2:A15),=AVERAGE(B2:B15),=AVERAGE(C2:C15)
