#ranks, #L[], #sdsl::wt::interval_scans
176179,172594,1625
183720,177014,802
205137,188746,1395
194161,146432,595
182770,137634,2001
157102,131114,580
163084,126606,1028
223333,157036,1938
156920,92044,1355
189022,145710,1352
134847,93332,907
179074,146636,2773
209546,163026,1422
129910,85126,914


=AVERAGE(A2:A15),=AVERAGE(B2:B15),=AVERAGE(C2:C15)
