Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
67,498,0.045,1.004,0.135
12,498,0.009,0.991,0.024
236,498,0.282,1.228,0.474
1,498,0,1.053,0.002
38,498,0.025,1.766,0.076
308,498,0.37,1.391,0.618
6,498,0.005,0.913,0.012
118,498,0.1,1.164,0.237
1002,498,0.948,1.439,2.012
1,498,0.001,1.035,0.002
1,498,0.001,0.999,0.002
771,498,0.719,0.876,1.548
5,498,0.004,1.081,0.010
6,498,0.003,0.897,0.012
2,498,0.002,0.883,0.004
1,498,0,0.877,0.002
225,498,0.181,0.826,0.452
2,498,0.001,0.977,0.004
27,498,0.019,0.881,0.054
1,498,0,1.048,0.002
45,498,0.047,0.878,0.090
2797,498,2.163,1.411,5.616
215,498,0.185,1.042,0.432
781,498,0.629,1.3,1.568
1,498,0,0.986,0.002
1,498,0,0.893,0.002
845,498,0.628,1.319,1.697
3,498,0.001,0.988,0.006
28,498,0.019,0.891,0.056
1,498,0,0.864,0.002
1,498,0.001,0.891,0.002
29,498,0.016,0.872,0.058
51,498,0.03,0.869,0.102
4,498,0.002,0.998,0.008
8,498,0.004,1.434,0.016
12,498,0.014,1.901,0.024
30,498,0.034,1.24,0.060
26,498,0.015,1.044,0.052
26,498,0.022,1.565,0.052
1,498,0,0.967,0.002
7,498,0.004,1.154,0.014
1,498,0,1.364,0.002
1,498,0,1.052,0.002
2009,498,1.555,1.262,4.034
7,498,0.004,1.182,0.014
122,498,0.101,1.189,0.245
1,498,0.001,1.412,0.002
485,498,0.648,1.582,0.974
28,498,0.019,1.187,0.056
21,498,0.015,0.91,0.042
1,498,0,0.869,0.002
439,498,0.296,1.598,0.882
1,498,0.001,0.953,0.002
100,498,0.085,1.061,0.201
1,498,0,0.933,0.002
405,498,0.304,0.814,0.813
297,498,0.189,0.87,0.596
1,498,0.001,1.368,0.002
1,498,0,0.889,0.002
246,498,0.217,0.955,0.494
1,498,0,0.954,0.002
1,498,0,1.229,0.002
9,498,0.006,0.974,0.018
2,498,0.003,1.036,0.004
1,498,0.001,1.004,0.002
3,498,0.002,1.083,0.006
5,498,0.003,1.543,0.010
2,498,0.002,1.204,0.004
1,498,0,1.1,0.002
1,498,0,1.367,0.002
3,498,0.002,1.323,0.006
1,498,0.001,1.173,0.002
34,498,0.045,1.643,0.068
1,498,0,1.604,0.002
10,498,0.016,1.308,0.020
25,498,0.017,1.175,0.050
1,498,0,1.251,0.002
37,498,0.031,1.083,0.074
1,498,0.001,1.079,0.002
9,498,0.005,0.927,0.018
1,498,0,0.886,0.002
1,498,0,1.001,0.002
69,498,0.063,1.123,0.139
24,498,0.017,0.909,0.048
1,498,0.001,1.317,0.002
152,498,0.198,2.088,0.305
2,498,0.001,1.184,0.004
1,498,0.001,1.742,0.002
1,498,0.001,1.646,0.002
31,498,0.037,1.393,0.062
1,498,0.001,1.445,0.002
2268,498,2.661,1.798,4.554
1,498,0.001,1.258,0.002
27,498,0.025,0.932,0.054
1,498,0,1.553,0.002
92,498,0.577,12.698,0.185
32,498,0.172,7.285,0.064
142,498,1.103,8.121,0.285
54,498,0.359,6.813,0.108
1,498,0.001,7.079,0.002
173,498,1.017,11.867,0.347
162,498,1.078,7.961,0.325
2371,498,12.788,4.184,4.761
1,498,0.001,1.503,0.002
3,498,0.004,1.603,0.006
53,498,0.058,2.059,0.106
1,498,0.001,1.245,0.002
1,498,0.001,7.681,0.002
33,498,0.195,7.701,0.066
66,498,0.595,8.39,0.133
2797,498,15.64,6.144,5.616
5,498,0.026,4.187,0.010
51,498,0.226,4.169,0.102
11,498,0.052,4.348,0.022
1,498,0.001,4.656,0.002
5,498,0.146,5.477,0.010
46,498,0.216,7.17,0.092
1,498,0.001,4.314,0.002
125,498,0.543,5.099,0.251
1,498,0.001,6.582,0.002
3,498,0.006,5.09,0.006
1,498,0.001,4.136,0.002
1,498,0.001,4.144,0.002
116,498,0.544,4.06,0.233
1,498,0.001,4.01,0.002
676,498,2.27,6.032,1.357
1,498,0.001,4.039,0.002
1,498,0.001,4.082,0.002
130,498,0.597,5.363,0.261
18,498,0.094,5.096,0.036
2,498,0.054,4.118,0.004
3,498,0.043,6.034,0.006
